PCODE,centrallon,centrallat
MX15106,-99.66641,19.29709
MX15107,-99.63756,18.78090
MX15108,-99.11965,19.67931
MX15109,-99.14529,19.62621
MX15110,-100.12195,19.17777
MX15111,-100.13756,19.38724
MX15112,-99.47843,19.72106
MX15113,-99.68773,18.97430
MX15114,-99.99213,19.44275
MX15115,-99.46760,19.43695
MX15116,-100.25611,19.06083
MX15117,-99.81281,18.71582
MX15118,-99.79770,19.21540
MX15119,-99.55409,18.80012
MX15120,-99.07182,19.80911
MX15121,-99.22519,19.65457
MX15122,-98.94836,19.27639
MX15123,-100.40648,18.94082
MX15124,-100.14533,19.61960
MX15125,-99.05837,19.68184
MX16001,-101.34000,19.46583
MX16002,-102.76109,18.77774
MX16003,-101.02176,19.87354
MX16004,-101.72776,20.13891
MX16005,-100.29853,19.62923
MX16006,-102.42332,18.93817
MX16007,-100.39543,19.66198
MX16008,-103.23575,18.37431
MX16009,-101.70667,19.15631
MX16010,-102.27069,18.36407
MX16011,-102.58980,20.23754
MX16012,-102.58387,19.20388
MX16013,-101.03631,18.96883
MX16014,-103.61533,18.74287
MX16015,-103.08597,18.67965
MX16016,-101.62725,19.79529
MX16017,-100.20759,19.95931
MX16018,-101.22140,19.91628
MX16019,-102.69996,19.75908
MX16020,-101.11182,19.98059
MX16021,-102.22797,19.69242
MX16022,-101.01331,19.66891
MX16023,-102.44671,20.04403
MX16024,-101.98974,19.73462
MX16025,-102.10117,19.81335
MX16026,-103.40894,18.76390
MX16027,-101.36219,19.89695
MX16028,-102.07803,20.12889
MX16029,-101.61623,18.68924
MX16030,-102.24342,20.15556
MX16031,-100.28934,20.14734
MX16032,-101.72521,19.61979
MX16033,-102.00714,19.15882
MX16034,-100.67790,19.61260
MX16035,-101.92116,18.84196
MX16036,-101.27777,19.99613
MX16037,-101.49648,19.89195
MX16038,-101.10506,18.65387
MX16039,-101.45706,19.52154
MX16040,-100.94216,19.76602
MX16041,-100.46800,19.71680
MX16042,-102.40572,20.15136
MX16043,-102.31600,19.93494
MX16044,-101.70439,19.92683
MX16045,-102.75341,19.97750
MX16046,-100.46018,19.29282
MX16047,-100.51869,19.43334
MX16048,-101.41119,19.57800
MX16049,-101.17022,19.34247
MX16050,-100.42895,19.88944
MX16051,-102.96783,20.04482
MX16052,-102.37653,18.08954
MX16053,-101.27912,19.66658
MX16054,-101.44300,19.98983
MX16055,-102.12380,18.97110
MX16056,-101.87955,19.64518
MX16057,-101.21593,19.09349
MX16058,-102.19573,19.40824
MX16059,-101.86368,19.15912
MX16060,-101.95975,20.25068
MX16061,-100.33277,19.57718
MX16062,-102.52574,20.14516
MX16063,-101.78165,20.00174
MX16064,-102.21229,19.06206
MX16065,-102.07105,19.65413
MX16066,-101.59902,19.49450
MX16067,-101.89561,20.10384
MX16068,-102.45261,19.49529
MX16069,-102.07231,20.30558
MX16070,-101.99201,19.91072
MX16071,-101.52803,20.11571
MX16072,-100.84677,19.72648
MX16073,-101.53867,19.69518
MX16074,-102.87923,20.11195
MX16075,-102.39534,19.65284
MX16076,-102.76630,20.05514
MX16077,-100.76288,18.56726
MX16078,-101.03889,20.03925
MX16079,-101.68808,19.38121
MX16080,-100.34233,19.74618
MX16081,-100.40687,19.19120
MX16082,-101.45202,19.25484
MX16083,-102.34701,19.33114
MX16084,-102.45365,19.89025
MX16085,-102.24868,19.87260
MX16086,-102.34178,20.25925
MX16087,-101.89511,19.32931
MX16088,-101.15753,19.81644
MX16089,-102.85833,19.06823
MX16090,-101.85065,19.51389
MX16091,-102.50042,19.78673
